net,sheet,kind,net_class,impedance_ohm,track_width_mm,pair_gap_mm,pair_with,length_match_group,match_tolerance_mm,notes
IO_L14_SRCC_P_34,som_j3,single,Default,,,,,,,
IO_L14_SRCC_P_35,som_j3,single,Default,,,,,,,
IO_L15_DQS_N_34,som_j3,single,Default,,,,,,,
IO_L15_DQS_N_35,som_j3,single,Default,,,,,,,
IO_L15_DQS_P_34,som_j3,single,Default,,,,,,,
IO_L15_DQS_P_35,som_j3,single,Default,,,,,,,
IO_L16_N_34,som_j3,single,Default,,,,,,,
IO_L16_N_35,som_j3,single,Default,,,,,,,
IO_L16_P_34,som_j3,single,Default,,,,,,,
IO_L16_P_35,som_j3,single,Default,,,,,,,
IO_L17_N_34,som_j3,single,Default,,,,,,,
IO_L17_N_35,som_j3,single,Default,,,,,,,
IO_L17_P_34,som_j3,single,Default,,,,,,,
IO_L17_P_35,som_j3,single,Default,,,,,,,
IO_L18_N_34,som_j3,single,Default,,,,,,,
IO_L18_N_35,som_j3,single,Default,,,,,,,
IO_L18_P_35,som_j3,single,Default,,,,,,,
IO_L19_N_VREF_35,som_j3,single,Default,,,,,,,
IO_L19_P_35,som_j3,single,Default,,,,,,,
IO_L1_N_33,som_j3,single,Default,,,,,,,
IO_L1_P_33,som_j3,single,Default,,,,,,,
IO_L20_N_34,som_j3,single,Default,,,,,,,
IO_L20_N_35,som_j3,single,Default,,,,,,,
IO_L20_P_34,som_j3,single,Default,,,,,,,
IO_L20_P_35,som_j3,single,Default,,,,,,,
IO_L21_DQS_N_35,som_j3,single,Default,,,,,,,
IO_L21_DQS_P_35,som_j3,single,Default,,,,,,,
IO_L22_N_34,som_j3,single,Default,,,,,,,
IO_L22_N_35,som_j3,single,Default,,,,,,,
IO_L22_P_35,som_j3,single,Default,,,,,,,
IO_L23_N_35,som_j3,single,Default,,,,,,,
IO_L23_P_34,som_j3,single,Default,,,,,,,
IO_L23_P_35,som_j3,single,Default,,,,,,,
IO_L24_N_34,som_j3,single,Default,,,,,,,
IO_L24_N_35,som_j3,single,Default,,,,,,,
IO_L24_P_34,som_j3,single,Default,,,,,,,
IO_L24_P_35,som_j3,single,Default,,,,,,,
IO_L2_N_33,som_j3,single,Default,,,,,,,
IO_L2_P_33,som_j3,single,Default,,,,,,,
IO_L3P_PUDC_34,som_j3,single,Default,,,,,,,
IO_L3_DQS_N_33,som_j3,single,Default,,,,,,,
IO_L3_DQS_P_33,som_j3,single,Default,,,,,,,
IO_L4_N_33,som_j3,single,Default,,,,,,,
IO_L4_N_34,som_j3,single,Default,,,,,,,
IO_L4_P_33,som_j3,single,Default,,,,,,,
IO_L5_N_33,som_j3,single,Default,,,,,,,
IO_L5_N_34,som_j3,single,Default,,,,,,,
IO_L5_P_33,som_j3,single,Default,,,,,,,
IO_L5_P_34,som_j3,single,Default,,,,,,,
IO_L6_VREF_N_34,som_j3,single,Default,,,,,,,
IO_L7_N_34,som_j3,single,Default,,,,,,,
IO_L7_P_34,som_j3,single,Default,,,,,,,
IO_L8_N_34,som_j3,single,Default,,,,,,,
IO_L8_P_34,som_j3,single,Default,,,,,,,
IO_L9_DQS_N_34,som_j3,single,Default,,,,,,,
IO_L9_DQS_P_34,som_j3,single,Default,,,,,,,
USB_UART_VBUS,uart_bridge,single,Default,,,,,,,deferred: usb_uart_connector (wave 2)
ZYNQ_PS_UART0_CTS_N,uart_bridge,single,Default,,,,,,,deferred: som_j1_connector (wave 3 MIO function map)
ZYNQ_PS_UART0_RTS_N,uart_bridge,single,Default,,,,,,,deferred: som_j1_connector (wave 3 MIO function map)
ZYNQ_PS_UART0_RXD,uart_bridge,single,Default,,,,,,,deferred: som_j1_connector (wave 3 MIO function map)
ZYNQ_PS_UART0_TXD,uart_bridge,single,Default,,,,,,,deferred: som_j1_connector (wave 3 MIO function map)
USB_UART_VBUS,usb_uart_connector,single,Default,,,,,,,
STM32_I2C2_SCL,power_mon,i2c,I2C,,,,,,,bus=STM32_I2C2; speed=400000Hz; deferred: som_j1_connector
STM32_I2C2_SDA,power_mon,i2c,I2C,,,,,,,bus=STM32_I2C2; speed=400000Hz; deferred: som_j1_connector
SDIO_CLK,som_j1,sd_bus,SD_1V8,,,,,BUS:SDIO,2.5,bus=SDIO; level=1.8V
SDIO_CMD,som_j1,sd_bus,SD_1V8,,,,,BUS:SDIO,2.5,bus=SDIO; level=1.8V
SDIO_D0,som_j1,sd_bus,SD_1V8,,,,,BUS:SDIO,2.5,bus=SDIO; level=1.8V
SDIO_D1,som_j1,sd_bus,SD_1V8,,,,,BUS:SDIO,2.5,bus=SDIO; level=1.8V
SDIO_D2,som_j1,sd_bus,SD_1V8,,,,,BUS:SDIO,2.5,bus=SDIO; level=1.8V
SDIO_D3,som_j1,sd_bus,SD_1V8,,,,,BUS:SDIO,2.5,bus=SDIO; level=1.8V
