net,sheet,kind,net_class,impedance_ohm,track_width_mm,pair_gap_mm,pair_with,length_match_group,match_tolerance_mm,notes
ETH_LINE_MDI_1_N,rj45_connector,diff_pair,DP100_DIFF,100,0.2052,0.2032,ETH_LINE_MDI_1_P,PAIR:ETH_LINE_MDI_1_N/ETH_LINE_MDI_1_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
ETH_LINE_MDI_1_P,rj45_connector,diff_pair,DP100_DIFF,100,0.2052,0.2032,ETH_LINE_MDI_1_N,PAIR:ETH_LINE_MDI_1_N/ETH_LINE_MDI_1_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
ETH_LINE_MDI_2_N,rj45_connector,diff_pair,DP100_DIFF,100,0.2052,0.2032,ETH_LINE_MDI_2_P,PAIR:ETH_LINE_MDI_2_N/ETH_LINE_MDI_2_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
ETH_LINE_MDI_2_P,rj45_connector,diff_pair,DP100_DIFF,100,0.2052,0.2032,ETH_LINE_MDI_2_N,PAIR:ETH_LINE_MDI_2_N/ETH_LINE_MDI_2_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
ETH_LINE_MDI_3_N,rj45_connector,diff_pair,DP100_DIFF,100,0.2052,0.2032,ETH_LINE_MDI_3_P,PAIR:ETH_LINE_MDI_3_N/ETH_LINE_MDI_3_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
ETH_LINE_MDI_3_P,rj45_connector,diff_pair,DP100_DIFF,100,0.2052,0.2032,ETH_LINE_MDI_3_N,PAIR:ETH_LINE_MDI_3_N/ETH_LINE_MDI_3_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
ETH_PHY_MDI0_N,som_j1,diff_pair,DP100_DIFF,100,0.2052,0.2032,ETH_PHY_MDI0_P,PAIR:ETH_PHY_MDI0_N/ETH_PHY_MDI0_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
ETH_PHY_MDI0_P,som_j1,diff_pair,DP100_DIFF,100,0.2052,0.2032,ETH_PHY_MDI0_N,PAIR:ETH_PHY_MDI0_N/ETH_PHY_MDI0_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
ETH_PHY_MDI1_N,som_j1,diff_pair,DP100_DIFF,100,0.2052,0.2032,ETH_PHY_MDI1_P,PAIR:ETH_PHY_MDI1_N/ETH_PHY_MDI1_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
ETH_PHY_MDI1_P,som_j1,diff_pair,DP100_DIFF,100,0.2052,0.2032,ETH_PHY_MDI1_N,PAIR:ETH_PHY_MDI1_N/ETH_PHY_MDI1_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
ETH_PHY_MDI2_N,som_j1,diff_pair,DP100_DIFF,100,0.2052,0.2032,ETH_PHY_MDI2_P,PAIR:ETH_PHY_MDI2_N/ETH_PHY_MDI2_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
ETH_PHY_MDI2_P,som_j1,diff_pair,DP100_DIFF,100,0.2052,0.2032,ETH_PHY_MDI2_N,PAIR:ETH_PHY_MDI2_N/ETH_PHY_MDI2_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
ETH_PHY_MDI3_N,som_j1,diff_pair,DP100_DIFF,100,0.2052,0.2032,ETH_PHY_MDI3_P,PAIR:ETH_PHY_MDI3_N/ETH_PHY_MDI3_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
ETH_PHY_MDI3_P,som_j1,diff_pair,DP100_DIFF,100,0.2052,0.2032,ETH_PHY_MDI3_N,PAIR:ETH_PHY_MDI3_N/ETH_PHY_MDI3_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA08_N,som_j1,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA08_P,PAIR:FMC_LA08_N/FMC_LA08_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA08_P,som_j1,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA08_N,PAIR:FMC_LA08_N/FMC_LA08_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA09_N,som_j1,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA09_P,PAIR:FMC_LA09_N/FMC_LA09_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA09_P,som_j1,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA09_N,PAIR:FMC_LA09_N/FMC_LA09_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA10_N,som_j1,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA10_P,PAIR:FMC_LA10_N/FMC_LA10_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA10_P,som_j1,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA10_N,PAIR:FMC_LA10_N/FMC_LA10_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA11_N,som_j1,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA11_P,PAIR:FMC_LA11_N/FMC_LA11_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_LA11_P,som_j1,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_LA11_N,PAIR:FMC_LA11_N/FMC_LA11_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
CAM_CLK_N,som_j3,diff_pair,DP100_DIFF,100,0.2052,0.2032,CAM_CLK_P,PAIR:CAM_CLK_N/CAM_CLK_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
CAM_CLK_P,som_j3,diff_pair,DP100_DIFF,100,0.2052,0.2032,CAM_CLK_N,PAIR:CAM_CLK_N/CAM_CLK_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
CAM_D0_N,som_j3,diff_pair,DP100_DIFF,100,0.2052,0.2032,CAM_D0_P,PAIR:CAM_D0_N/CAM_D0_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
CAM_D0_P,som_j3,diff_pair,DP100_DIFF,100,0.2052,0.2032,CAM_D0_N,PAIR:CAM_D0_N/CAM_D0_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
CAM_D1_N,som_j3,diff_pair,DP100_DIFF,100,0.2052,0.2032,CAM_D1_P,PAIR:CAM_D1_N/CAM_D1_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
CAM_D1_P,som_j3,diff_pair,DP100_DIFF,100,0.2052,0.2032,CAM_D1_N,PAIR:CAM_D1_N/CAM_D1_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
FMC_CLK0_M2C_N,som_j3,diff_pair,DP100_DIFF,100,0.2052,0.2032,FMC_CLK0_M2C_P,PAIR:FMC_CLK0_M2C_N/FMC_CLK0_M2C_P,1.27,"JLCPCB calculator, JLC04161H-7628 outer/L2"
